adress,rating,nbreviews,latitude,longitude,distance
"78 rue Quincampoix, 75003 Paris, France",4,185,48.8621726,2.342414,941.5618773744353
"3 rue des Grands Degres, 75005 Paris, France",4,1446,48.8512275,2.3411848,2098.5190725425095
"202 rue Saint Honore, 75001 Paris, France",3,349,48.8627934,2.3289366,997.0249035103028
"20 rue Saint Benoit, 75006 Paris, France",4,2491,48.8546371,2.324008,1954.5279232735015
"101 boulevard du Montparnasse, 75006 Paris, France",4,3136,48.8424632,2.3200908,3299.8380624493125
"6 rue des Abbesses | Montmartre, 75018 Paris, France",4.5,2206,48.8840636,2.3303772,1650.4220417921172
"25 avenue Montaigne, 75008 Paris, France",4.5,478,48.8662509,2.3042421,2445.786996086888
"36 rue du Mont Thabor, 75001 Paris, France",4.5,2252,48.8665394,2.3265589,865.0645234806067
"133 avenue Victor Hugo, 75116 Paris, France",3.5,685,48.8675447,2.2806706,4144.013820008692
"7 rue Chambiges, 75008 Paris, France",3.5,136,48.8669857,2.2948264,3117.3284190971644
"91 boulevard Gouvion Saint Cyr, 75017 Paris, France",3.5,751,48.8789625,2.2759873,4589.190241903311
"84 avenue de Suffren, 75015 Paris, France",4,1474,48.8511003,2.2918501,3923.06427612421
"Marais 31 rue de la Cerisaie, 75004 Paris, France",4.5,627,48.8525559,2.3554402,2346.3201883791735
"21 rue Brunel | 21,rue Brunel, 75017, Paris, Île-de-France, 75017 Paris, France",4,414,48.87758,2.2881633,3686.9904291991506
"84 quai de l Hotel de Ville, 75004 Paris, France",4,500,48.8549403,2.3540245,2070.326392836109
"29 rue Vivienne, 75002 Paris, France",4,1305,48.8692806,2.340118,224.0367135998575
"13 rue Ternaux, 75011 Paris, France",4.5,395,48.8643593,2.3640764,2059.895252119223
"135 rue Saint Dominique, 75007 Paris, France",4.5,1333,48.8582022,2.2931386,3477.2236700037283
"La Motte Picquet 13 rue Beatrix Dussane, 75015 Paris, France",4.5,604,48.8499209,2.2825499,4575.492698478388
"27 quai Voltaire, 75007 Paris, France",4,330,48.8590787,2.3214943,1665.7259383049648
