"adress","rating","nbreviews"
"8 rue de Montfaucon, 75006 Paris, France","4","377"
"33 rue Lepic, 75018 Paris, France","4","1587"
"49 rue Pierre Charron, 75008 Paris, France","3.5","848"
"49 rue de Belleville, 75019 Paris, France","4","479"
"15 Place Vendome | Hôtel Ritz Paris, 75001 Paris, France","4.5","296"
"8 rue Geoffroy Marie, 75009 Paris, France","4","204"
"21 rue des Halles | Angle rue Des Bourdonnais, 75001 Paris, France","4","194"
"30 bis, rue Bergere, 75009 Paris, France","4.5","637"
"6 rue des Fontaines du Temple, 75003 Paris, France","4.5","373"
"129 avenue Parmentier, 75011 Paris, France","4","998"
"17 avenue Franklin Delano Roosevelt, 75008 Paris, France","4.5","169"
"15 rue Chaptal, 75009 Paris, France","4.5","110"
"29 Rue Des 3 Freres, 75018 Paris, France","4.5","647"
"33 Cour Saint Emilion, 75012 Paris, France","3.5","2381"
"13 rue des Beaux Arts, 75006 Paris, France","4.5","778"
"45 avenue Ledru Rollin | Metro Gare de Lyon sortie numero 1, 75012 Paris, France","4.5","1037"
"60 rue de la Roquette, 75011 Paris, France","4","413"
"28 rue des Grands Augustins, 75006 Paris, France","4","650"
"15,16,17 Rue Saint-Sabin, 75011 Paris, France","4","1073"
"8 rue des Lombards, 75004 Paris, France","3.5","563"
"40 boulevard de la Bastille, 75012 Paris, France","4","649"
"1 rue Theophile Roussel, 75012 Paris, France","4.5","517"
"4 rue Saint Gilles, 75003 Paris, France","4","116"
"14 rue Boutebrie, 75005 Paris, France","4.5","182"
"78 rue Baudricourt, 75013 Paris, France","2.5","250"
"16 rue Royale, 75008 Paris, France","4","2030"
"39 rue de Paris, 92100 Boulogne-Billancourt, France","4.5","537"
"24 rue Caulaincourt, 75018 Paris, France","4","463"
"72 rue Bonaparte, 75006 Paris, France","4.5","2055"
"20 rue Rambuteau, 75003 Paris, France","4","414"
"26 rue des Lombards, 75004 Paris, France","4.5","314"
"1 rue Chabanais, 75002 Paris, France","3.5","25"
"66 rue de la Roquette, 75011 Paris, France","4","766"
"9 rue Veronese, 75013 Paris, France","4","147"
"1 rue Villedo, 75001 Paris, France","4","456"
"19 rue Bayard, 75008 Paris, France","4","211"
"10 rue Marie Et Louise, 75010 Paris, France","4","118"
"276 rue Saint Honore, 75001 Paris, France","3.5","464"
"29 rue de Marignan | L' Entrecote de Paris, 75008 Paris, France","3.5","1458"
"67 quai de la Seine, 75019 Paris, France","4","476"
"135 rue Saint Dominique, 75007 Paris, France","4","2400"
"18 rue des Archives, 75004 Paris, France","3.5","801"
"3 rue de la Gaite, 75014 Paris, France","4","1767"
"17 rue Lavandieres Ste Opportune | proche de la place du Châtelet, 75001 Paris, France","4.5","762"
"45 rue de Babylone, 75007 Paris, France","4","408"
"8 rue de l Echelle | 8 rue de l'Echelle Paris, 75001 Paris, France","4","610"
"108 rue de la Convention, 75015 Paris, France","4","193"
"11 rue Sainte Anne, 75001 Paris, France","3.5","243"
"101 B rue Lauriston, 75116 Paris, France","4.5","629"
"34 rue Mouffetard, 75005 Paris, France","3.5","229"
"8 B rue des Gobelins, 75013 Paris, France","4.5","340"
"19 chaussee de la Muette, 75016 Paris, France","3","555"
"8 rue de Vaugirard, 75006 Paris, France","4.5","706"
"3 boulevard de la Madeleine, 75001 Paris, France","4","178"
"42 rue Blomet, 75015 Paris, France","4","315"
"24 rue du Docteur Finlay, 75015 Paris, France (Formerly Le Bistrot d'en Face)","4.5","374"
"18 rue des Archives | 18 Rue Des Archives, 75004 Paris, France","4","757"
"6 Square de l Opera Louis Jouvet, 75009 Paris, France","3.5","577"
"38 rue Cler, 75007 Paris, France","3.5","1119"
"22 Place des Vosges, 75004 Paris, France","3.5","813"
"9 Place du Marechal Juin, 75017 Paris, France","4","510"
"5 rue Guisarde, 75006 Paris, France","4.5","438"
"15 rue Montalivet, 75008 Paris, France","4","354"
"46 rue des Martyrs, 75009 Paris, France","3","276"
"33 avenue des Champs Elysees, 75008 Paris, France","3","3399"
"6 Place de la Bastille, 75012 Paris, France","3.5","754"
"3 rue Geoffroy Marie, 75009 Paris, France","4","392"
"24 rue Damremont, 75018 Paris, France","4","207"
"24 rue des Canettes, 75006 Paris, France (Formerly Boucherie Roulière)","4.5","662"
"4 rue Malher, 75004 Paris, France","3.5","563"
"5 rue Audran, 75018 Paris, France","4.5","1709"
"1 rue de la Verrerie, 75004 Paris, France","3.5","600"
"56 avenue de Choisy, 75013 Paris, France","4","230"
"14 rue Chabanais, 75002 Paris, France","4","745"
"7 avenue de Laumiere, 75019 Paris, France","4","289"
"24 rue de la Parcheminerie, 75005 Paris, France","4","1127"
"12/14 Rue Joseph de Maistre | Edmond Terrass Hotel, 75018 Paris, France","4","480"
"7 rue Sainte Anne, 75001 Paris, France","4","277"
"3 rue Mansart, 75009 Paris, France","4.5","348"
"12 rue de Castellane, 75008 Paris, France","4.5","372"
"4 rue Balzac, 75008 Paris, France","4","381"
"11 rue de l Arrivee | Centre Commercial Tour Maine Montparnasse, 75015 Paris, France","3.5","242"
"57 rue Lacepede, 75005 Paris, France","3","312"
"44 rue Jean Pierre Timbaud, 75011 Paris, France","4","623"
"35 Rue Sibuet, 75012 Paris, France","4.5","715"
"2 rue Brisemiche, 75004 Paris, France","4","608"
"78 rue Montorgueil, 75002 Paris, France","3.5","474"
"110 rue Legendre, 75017 Paris, France","4","455"
"158 boulevard Haussmann | Musée Jacquemart-André, 75008 Paris, France","4.5","482"
"16 rue des 3 Freres, 75018 Paris, France","4.5","434"
