"adress","rating","nbreviews"
"25 rue des Grands Augustins, 75006 Paris, France","4.5","675"
"16 rue Soufflot, 75005 Paris, France","3","496"
"53 Bis Bd Arago, 75013 Paris, France","4.5","118"
"116 rue Mouffetard, 75005 Paris, France","4","221"
"1 Place du Palais Bourbon, 75007 Paris, France","3.5","307"
"15 boulevard du Palais, 75004 Paris, France","3","404"
"2 Place du Chatelet, 75004 Paris, France","4","75"
"122 boulevard de Clichy, 75018 Paris, France","3","603"
"2 Place de l Ecole Militaire, 75007 Paris, France","4","1157"
"Main Street, Disneyland Park, Disneyland Paris, EC2A, Marne-la-Vallee, France","4","3108"
"23 boulevard des Capucines, 75002 Paris, France","4","293"
"78 rue Labat, 75018 Paris, France","4.5","135"
"19 rue de Castellane, 75008 Paris, France","4","627"
"149 rue Saint Dominique, 75007 Paris, France","2","1068"
"3 boulevard du Palais, 75004 Paris, France","4","1000"
"10 rue du Fouarre, 75005 Paris, France","3.5","327"
"15 rue des Fosses Saint Marcel, 75005 Paris, France","4.5","322"
"4 Place Saint Germain des Pres | Saint-Germain-des-Prés, 75006 Paris, France","4","896"
"20 rue de Monttessuy | A 100 meter from Eiffel Tower, 75007 Paris, France","4.5","511"
"2 Place du Trocadero, 75116 Paris, France","3.5","1008"
"37 rue Marbeuf, 75008 Paris, France","3.5","1340"
"67 avenue de la Motte Picquet, 75015 Paris, France","3","467"
"5 rue Paul Louis Courier, 75007 Paris, France","3.5","77"
"61 avenue de la Motte Picquet, 75015 Paris, France","3.5","300"
"133 rue de Turenne, 75003 Paris, France","4.5","566"
"64 Rue Pierre Charron, 75008 Paris, France","4","439"
"38 rue de Sevres, 75007 Paris, France","3.5","114"
"68 avenue de la Motte Picquet, 75015 Paris, France","3.5","319"
"84-86 rue St-Louis-en-l'Isle, Paris, France","4","328"
"16 rue des Acacias, 75017 Paris, France","4","741"
"144 avenue des Champs-Elysees, 75008 Paris, France","3.5","1682"
"15 rue de la Huchette, 75005 Paris, France","3.5","409"
"3 rue de Montfaucon, 75006 Paris, France","4.5","672"
"Paris Nord 2 351 avenue du Bois de la Pie Cs 42048 Roissy en France, 95912 Roissy-en-France, France","4","290"
"39 rue Descartes, 75005 Paris, France","4.5","1335"
"16 rue des Ecouffes, 75004 Paris, France","4","1370"
"2 rue Cambon, 75001 Paris, France","4","1916"
"53bis Rue des Francs Bourgeois, 75004 Paris, France (Formerly Le Perchoir du Dôme)","3.5","914"
"6 rue Charles Francois Dupuis, 75003 Paris, France","4","177"
"46 boulevard Raspail, 75007 Paris, France","3","134"
"45 rue Mouffetard, 75005 Paris, France","4.5","214"
"106 rue Saint Honore, 75001 Paris, France","4","966"
"28 avenue de Suffren, 75015 Paris, France","4.5","226"
"6, Avenue de la Grande Armee, 75017 Paris, France","3.5","128"
"5 Place de la Sorbonne, 75005 Paris, France","3.5","367"
"5 boulevard Soult, 75012 Paris, France","4","271"
"47 rue Saint Louis en L Ile, 75004 Paris, France","4.5","266"
"12 Place D Anvers, 75009 Paris, France","3.5","155"
"69 rue des Gravilliers | 69, Rue des Gravilliers, 75003 Paris, France","3.5","1132"
"30 rue du Printemps | angle 27 bis, boulevard Pereire XVIIe, 75017 Paris, France","4.5","368"
"52 rue de l Hotel de Ville, 75004 Paris, France","4","374"
"81 rue du Cardinal Lemoine, 75005 Paris, France","4.5","208"
"7 rue de l Etoile, 75017 Paris, France","4.5","1088"
"8 rue Suger, 75006 Paris, France","4.5","323"
"3 rue de Birague, 75004 Paris, France","4","191"
"23 rue Clauzel, 75009 Paris, France","4","869"
"51 rue Montorgueil | 2ème Arrondissement, 75002 Paris, France","4","628"
"5 Disney Village, Cedex 04, Chessy | Disneyland Paris, 77705, Marne-la-Vallee, France","3","6072"
"24 rue Bosquet, 75007 Paris, France","4.5","1308"
"5 rue du 4 Septembre, 75002 Paris, France","3.5","120"
"6 rue Daguerre, 75014 Paris, France","4","314"
"49 avenue du General Leclerc, 75014 Paris, France","4","372"
"110 B avenue Kleber, 75116 Paris, France","4.5","1547"
"54 rue Cler, 75007 Paris, France","4","171"
"164 boulevard Saint Germain, 75006 Paris, France","3.5","251"
"48 rue de Paris, 77700 Bailly-Romainvilliers, France","4.5","352"
"60 rue Didot, 75014 Paris, France","4","395"
"17 boulevard Saint Jacques | Paris Marriott Rive Gauche Hotel & Conference Center, 75014 Paris, France","3.5","227"
"30 rue Bonaparte, 75006 Paris, France","4","880"
"29 rue Cler, 75007 Paris, France","4","1157"
"43 rue de Seine, 75006 Paris, France","3.5","687"
"35 rue Jacob | 75006, 75006 Paris, France","4","432"
"25 B boulevard Henri IV, 75004 Paris, France","4","327"
"95 rue Beaubourg, 75003 Paris, France","4","447"
"42 rue Bonaparte | 75006, 75006 Paris, France","3.5","531"
"64 avenue Marceau, 75008 Paris, France","4","376"
"9 boulevard de Port Royal, 75013 Paris, France","4","187"
"80 avenue Kleber, 75116 Paris, France","3.5","445"
"65 boulevard de Menilmontant, 75011 Paris, France","3.5","335"
"10 rue Croix des Petits Champs, 75001 Paris, France","4","540"
"139 Rue St Honore, 75001 Paris, France (Formerly Pizza Oskian)","4","252"
"5 rue Washington, 75008 Paris, France","2.5","248"
"3 rue Sainte Beuve | A côté du quartier Vavin et du théâtre du Lucernaire, proche Montparnasse et Jardin du Luxembourg, 75006 Paris, France","4.5","379"
"212 rue de Grenelle, 75007 Paris, France","4","324"
"1 rue Brea, 75006 Paris, France","4","82"
"68 quai de la Seine, 75019 Paris, France (Formerly LA CRIÉE LA VILLETTE PARIS 19)","3.5","446"
"133 avenue des Champs Elysees | Publicis Drugstore, 75008 Paris, France","4","1525"
"2 boulevard de la Madeleine, 75009 Paris, France","3","484"
"12 rue de l Hotel Colbert, 75005 Paris, France","4.5","786"
"1 rue Danton | Place Saint André des Arts, 75006 Paris, France","3","478"
"8 rue Gracieuse, 75005 Paris, France","4.5","335"
"131 rue Saint Dominique | Place de la Fontaine de Mars, 75007 Paris, France","3.5","762"
"9 boulevard des Italiens, 75002 Paris, France","4","196"
"13 rue des Trois Freres, 75018 Paris, France","4.5","803"
"11 B rue Chomel, 75007 Paris, France","4.5","494"
"15 rue des 3 Freres, 75018 Paris, France","4.5","1904"
"60 rue de Caumartin, 75009 Paris, France","4","16"
"22 rue Cambaceres, 75008 Paris, France","4","130"
"12 avenue de Wagram, 75008 Paris, France","3.5","938"
"7 rue de Ponthieu, 75008 Paris, France","4.5","525"
"11 rue du Debarcadere, 75017 Paris, France","3","94"
"20 rue Singer | place Chopin, 75016 Paris, France","4.5","116"
"9 rue des 4 Vents, 75006 Paris, France","4","146"
"7 avenue de Suffren, 75007 Paris, France","2","920"
"117 rue Lauriston, 75116 Paris, France","4.5","107"
"33 quai de Bourbon, 75004 Paris, France","4","225"
"1 rue de Turenne, 75004 Paris, France","4","297"
"47 rue de Laborde, 75008 Paris, France","4","268"
"8 Place de Clichy, 75009 Paris, France","4","686"
"29 rue de Turenne, 75003 Paris, France","3.5","60"
"55 rue Dauphine, 75006 Paris, France","4.5","277"
"114 rue du Faubourg Saint Honore, 75008 Paris, France","4.5","1798"
"Amerique du Nord | Disneyland Resort Paris, 77700, Marne-la-Vallee, France","3.5","223"
"10 avenue Trudaine, 75009 Paris, France","4","347"
"3 boulevard Richard Lenoir, 75011 Paris, France","4.5","769"
"170 rue du Faubourg Saint Denis, 75010 Paris, France","3.5","839"
"49 boulevard de la Tour Maubourg, 75006 Paris, France","3.5","515"
"35 rue Saint Honore, 75001 Paris, France","4.5","501"
"70 rue de Dunkerque, 75009 Paris, France","4","54"
"4 Cour du Commerce Saint Andre, 75006 Paris, France","4","864"
"9 rue du Faubourg du Temple, 75010 Paris, France","4.5","141"
"44 rue des Tournelles, 75004 Paris, France","4.5","2665"
"86 boulevard de Picpus, 75012 Paris, France","4","220"
"25 rue Jean Giraudoux, 75016 Paris, France","4","755"
"34 rue Monsieur le Prince, 75006 Paris, France","4","361"
"4 rue Cambon, 75001 Paris, France","4.5","495"
"7 rue des 2 Ponts, 75004 Paris, France","4","284"
"25 rue Royale, 75008 Paris, France","3.5","233"
"43 rue de la Harpe, 75005 Paris, France","3.5","1003"
"5 rue d Artois | Coté Gauche, 75008 Paris, France","4","183"
"14 rue des Tournelles | 75004, 75004 Paris, France","4.5","147"
"3 rue de Maubeuge, 75009 Paris, France","4","231"
"20 rue de Turin, 75008 Paris, France","4.5","332"
"6 rue de l Odeon, 75006 Paris, France","4","83"
"162 boulevard du Montparnasse | Ouvert Le Dimanche, 75014 Paris, France","4.5","1178"
"66 rue des Martyrs, 75009 Paris, France","4.5","390"
"7 rue Tronchet, 75008 Paris, France","4.5","589"
"33 rue Saint Sebastien, 75011 Paris, France","4","209"
"11 rue Gregoire de Tours | Métro Odéon, 75006 Paris, France","4.5","962"
"47 B rue Poliveau | 3 Rue des Fossés Saint-Marcel, 75005 Paris, France","4","139"
"33 rue du Pont Neuf, 75001 Paris, France","4","410"
"39 rue des Plantes, 75014 Paris, France","4.5","472"
"47 rue de Ponthieu, 75008 Paris, France","4.5","584"
"34 rue Keller, 75011 Paris, France","4","136"
"26 rue des Rosiers, 75004 Paris, France","3.5","576"
"Disneyland Resort Paris, 77700, Marne-la-Vallee, France","3.5","568"
"21 avenue Franklin Delano Roosevelt, 75008 Paris, France","3","452"
"143 boulevard Raspail, 75006 Paris, France","4","120"
"65 rue de l Universite | 75007, 75007 Paris, France","4.5","188"
"5 rue Coq Heron, 75001 Paris, France","5","1056"
"3 Carrefour de l_Odeon | Sixth Arrondissement, 75006 Paris, France","4.5","933"
"4 rue de la Tour D Auvergne, 75009 Paris, France","4.5","112"
"59 rue Saint Charles, 75015 Paris, France","4.5","567"
"91 boulevard Beaumarchais, 75003 Paris, France","3.5","570"
"30 rue de Bourgogne, 75007 Paris, France","4.5","193"
"40 rue Notre Dame de Lorette | Metro St Georges / Pigalle / Notre-Dame de Lorette, 75009 Paris, France","4.5","303"
"258 boulevard Saint Germain, 75007 Paris, France","4","137"
"96 rue de Richelieu, 75002 Paris, France","4.5","1046"
"16 avenue de Villiers, 75017 Paris, France","4","204"
"4 rue du petit Pont, 75005 Paris, France","4","132"
"12 boulevard Montmartre, 75009 Paris, France","3.5","475"
"23 rue des Rosiers, 75004 Paris, France","3.5","672"
"3 impasse Marteau, 75018 Paris, France","3.5","53"
"10 rue de Budapest, 75009 Paris, France","4.5","451"
"17 avenue Rachel, 75018 Paris, France","4.5","281"
"12 rue du Dragon | 75006, 75006 Paris, France","4.5","280"
"386 rue de Vaugirard, 75015 Paris, France","2.5","577"
"27 rue des 2 Ponts, 75004 Paris, France","4.5","315"
"90 rue Saint Louis en L Ile, 75004 Paris, France","4","335"
"42 rue Jean Pierre Timbaud, 75011 Paris, France","4","199"
"52 rue de Saintonge, 75003 Paris, France","4","545"
"39 rue des Mathurins, 75008 Paris, France","4","504"
"12 avenue Richerand | Quartier Canal St. Martin, 75010 Paris, France","4","234"
"330 rue Saint Honore, 75001 Paris, France","3","414"
"Residence le Royal Turenne 24 rue de Turenne, 75003 Paris, France","3.5","508"
"80 rue de Charonne, 75011 Paris, France","4.5","1016"
"3 rue Victor Masse | SouthPi district, 75009 Paris, France","4.5","551"
"33 rue Cambon, 75001 Paris, France","4","152"
"80 boulevard Haussmann, 75008 Paris, France","3.5","779"
"27 rue Brea, 75006 Paris, France","3.5","197"
"56 rue de la Federation, 75015 Paris, France","4.5","551"
"27 rue du Dragon, 75006 Paris, France","4","1559"
"57 rue Montorgueil, 75002 Paris, France","4","439"
"Oberkampf Street, 35, 75011 Paris, France","3.5","175"
"81 rue de Seine, 75006 Paris, France","4.5","390"
"245 rue Saint Jacques, 75005 Paris, France","4.5","98"
"173 boulevard Saint Germain | Inside the Ralph Lauren Store, 75006 Paris, France","3.5","1169"
"11 rue Amelie, 75007 Paris, France","4","245"
"40 rue Lepic, 75018 Paris, France","4.5","231"
"47 T boulevard Saint Germain, 75005 Paris, France","3","186"
"1 avenue de Versailles, 75016 Paris, France","4","429"
"251 rue Saint Honore, 75001 Paris, France","4.5","1023"
"Disneyland Resort Paris | Disneyland Paris, 77700, Marne-la-Vallee, France","4","802"
"8 rue Hippolyte Lebas, 75009 Paris, France (Formerly Le Daron)","4","418"
"26 rue de Buci, 75006 Paris, France","3.5","276"
"2 Place Edouard Renard, 75012 Paris, France","3.5","301"
"16 rue Jean Jacques Rousseau, 75001 Paris, France","4.5","665"
"251 rue Saint Honore | Hotel Mandarin Oriental, 75001 Paris, France","4.5","823"
"17 rue de Sevres, 75006 Paris, France","4","46"
"4 rue de l Exposition, 75007 Paris, France","4.5","1273"
"10 avenue de New York, 75116 Paris, France","4.5","481"
"9 rue du 9e Arr de Paris, 14700, Falaise, France","4","183"
"6 rue Leopold Robert, 75014 Paris, France","4.5","695"
"47 avenue Raymond Poincare, 75116 Paris, France","3.5","105"
"144 avenue des Champs Elysees, 75008 Paris, France","4","424"
"40 rue de Longchamp, 75116 Paris, France","4","128"
"6 avenue de Wagram, 75008 Paris, France","3","283"
"24 rue de Caumartin, 75009 Paris, France","2","585"
"12 boulevard de Denain, 75010 Paris, France","3","390"
"23 rue des Abbesses, 75018 Paris, France","3","296"
"23 rue d Arcole, 75004 Paris, France","2.5","571"
"10 rue de Buci | 75006 Paris, 75006 Paris, France","4","690"
"12 rue Vivienne, 75002 Paris, France","4","209"
"66 rue du Faubourg Saint Denis, 75010 Paris, France","4","202"
"49 rue Custine, 75018 Paris, France","4.5","263"
"43 avenue de la Bourdonnais, 75007 Paris, France","4.5","708"
"2 avenue de la Bourdonnais, 75007 Paris, France","3.5","826"
"1 rue de Maubeuge, 75009 Paris, France","3","137"
"11 rue Bernard Palissy, 75006 Paris, France","4.5","757"
"15 rue Francois Miron, 75004 Paris, France","4.5","508"
"3 rue Ste Croix de la Bretonnerie, 75004 Paris, France","4","947"
"10 Avenue d Iena | Shangri-La Hotel Lobby Level and Mezzanine, 75116 Paris, France","4.5","1241"
"13 rue Auber, 75009 Paris, France","4","137"
"22 rue Saint Jean, 62520 Le Touquet – Paris-Plage, France","3.5","1175"
"7 Place Vauban, 75007 Paris, France","4","298"
"Musee du Louvre | Aile Richelieu 1st Floor, 75001 Paris, France","3.5","475"
"34 rue Gassendi, 75014 Paris, France","4.5","348"
"9 rue Jean Baptiste Pigalle, 75009 Paris, France","4","124"
"101 rue la Boetie, 75008 Paris, France","4","569"
"86 B rue Lepic | métro ligne 12 : Abbesses, Lamarck-Caulaincourt ; métro ligne 2 : Blanche, Pigalle, 75018 Paris, France","4.5","1267"
"5 rue Charles Francois Dupuis, 75003 Paris, France","4.5","622"
"3 rue de l Estrapade, 75005 Paris, France","4.5","208"
"5 Place Cambronne, 75015 Paris, France","4","400"
"Avenue Robert Schuman, Newport Bay Club Hotel | Disneyland Resort Paris, 77700, Marne-la-Vallee, France","3.5","382"
"56 Rue des Rosiers, 75004 Paris, France","4.5","521"
"36 rue de Chabrol, 75010 Paris, France","4.5","1084"
"6 rue Duphot, 75001 Paris, France","4.5","451"
"2 B avenue de Paris, 94300 Vincennes, France","4","644"
"202 rue Saint Honore, 75001 Paris, France","3","522"
"14 rue de Clichy, 75009 Paris, France","4.5","946"
"45 avenue Raymond Poincare, 75116 Paris, France","4","262"
"16 rue Saint Severin, 75005 Paris, France","3.5","415"
"7 rue Xavier Privas, 75005 Paris, France","3.5","97"
"18 rue des 3 Freres | Montmartre, 75018 Paris, France","4.5","1086"
"4 rue Saint Merri, 75004 Paris, France","4.5","572"
"68 rue Mouffetard, 75005 Paris, France","4.5","1350"
"17 rue du Bac, 75007 Paris, France","4","518"
"4 avenue du General Leclerc | 75014 Paris Neighborhood: 14ème arr., 75014 Paris, France","3.5","376"
"2 Pl Trocadero Et du 11 Novembre, 75116 Paris, France","4","1472"
"3 avenue Carnot, 75017 Paris, France","4","94"
"8 Place Saint Sulpice, 75006 Paris, France","3","268"
"233 rue du Faubourg Saint Honore, 75008 Paris, France","4","574"
"10 Avenue d Iena, 75116 Paris, France","4.5","805"
"7 rue de Ponthieu, 75008 Paris, France","4","808"
"1 Villa Leandre, 75018 Paris, France","4","349"
"47 rue de Babylone, 75007 Paris, France","4","485"
"5 rue d Arcole, 75004 Paris, France","3.5","194"
"8 rue Jean Goujon, 75008 Paris, France","4","207"
"1 rue Jules Valles, 75011 Paris, France","4","1439"
"37 rue du Roi de Sicile, 75004 Paris, France","4.5","341"
"25 rue Saint Andre des Arts, 75006 Paris, France","4","596"
"Port de la Bourdonnais | 75007, 75007 Paris, France","3","527"
"31 B rue des Lombards, 75001 Paris, France","3.5","164"
"16 rue Mabillon | 6th Arrondissement, 75006 Paris, France","3.5","72"
"4 rue de la Gaite, 75014 Paris, France","4","199"
"1 B Passage Saint Sebastien, 75011 Paris, France","4","435"
"68 Rue Lepic, 75018 Paris, France","4.5","833"
"9 rue Jacques Coeur | Metro Bastille, 75004 Paris, France","4.5","213"
"41 rue Censier, 75005 Paris, France","4.5","257"
"262 boulevard Saint Germain, 75007 Paris, France","2.5","613"
"210 rue de Rivoli | 210 Rue de Rivoli, 75001 Paris, France","3.5","362"
"12 chaussee de la Muette, 75016 Paris, France","3.5","384"
"6 rue de Monttessuy, 75007 Paris, France","4","197"
"17 Place de la Republique, 75003 Paris, France","3","222"
"149 rue du Faubourg Saint Antoine, 75011 Paris, France","4.5","225"
"56 rue du Montparnasse | Arrêtez vous à la façade bleu Klein. ., 75014 Paris, France","4","485"
"36 rue Gregoire de Tours, 75006 Paris, France","4","339"
"16 rue Vieille du Temple, 75004 Paris, France","3.5","308"
"1 Place du Marechal Juin, 75017 Paris, France","2.5","295"
"3 avenue Matignon, 75008 Paris, France","3.5","762"
"68 boulevard Saint Germain, 75005 Paris, France","3.5","386"
"11 B rue Amelie | 7th Arrondissement, 75007 Paris, France","4.5","243"
"4, Rue Gregoire de Tours 75006 Paris, 75006 Paris, France","3.5","657"
"94 rue Rambuteau, 75001 Paris, France","4","44"
"194 Rue de Rivoli | 1 Place Des Pyramides, 7500l Paris, France","4.5","45"
"1 rue de la Legion D Honneur | 5eme Etage, 75007 Paris, France","3.5","950"
"89 boulevard de Strasbourg, 75010 Paris, France","3","52"
"24 rue des Ecouffes | 4th Arondissement, 75004 Paris, France","4.5","189"
"186 rue du Chateau, 75014 Paris, France","4.5","318"
"6 rue de Bourbon le Chateau, 75006 Paris, France","4.5","49"
"201 rue de Grenelle, 75007 Paris, France","4","527"
"33 rue Danielle Casanova, 75001 Paris, France","4","104"
"18 Place Maubert, 75005 Paris, France","3","102"
"4 avenue de Wagram, 75008 Paris, France","4","807"
"62 rue du bac, 75007 Paris, France","4","775"
"64 rue de la Croix Nivert, 75015 Paris, France","4.5","705"
"43 rue des Petites Ecuries, 75010 Paris, France","3.5","234"
"149 rue de l Universite, 75007 Paris, France","3.5","50"
"97 rue de Charonne | 11eme Arrondissement, 75011 Paris, France","4","186"
"34 rue Jouffroy D Abbans, 75017 Paris, France","3.5","101"
"52 rue de Richelieu | dans le passage Beaujolais, 75001 Paris, France","4.5","589"
"165 rue de Javel, 75015 Paris, France","3.5","314"
"5 rue de l Isly, 75008 Paris, France","4","454"
"125 rue Saint Antoine, 75004 Paris, France","4","136"
"4 avenue du Pere Lachaise, 75020 Paris, France","3","80"
"5 rue Henry Monnier, 75009 Paris, France","4.5","414"
"64 rue Lamarck, 75018 Paris, France","3.5","86"
"157 rue Saint Honore, 75001 Paris, France","3.5","508"
"49 avenue de la Bourdonnais, 75007 Paris, France","4.5","63"
"5 Place de la Porte de Saint Cloud, 75016 Paris, France","4","527"
"59 rue des Abbesses, 75018 Paris, France","4","256"
"13 rue du Mont Cenis, 75018 Paris, France","3.5","337"
"42 rue des Martyrs, 75009 Paris, France","4","139"
"15 rue Mesnil, 75116 Paris, France","4.5","469"
"7 rue Lobineau, 75006 Paris, France","3.5","176"
"9 rue Norvins, 75018 Paris, France","3","367"
"57 rue de la chaussee D Antin, 75009 Paris, France","3.5","200"
"85 rue Mouffetard, 75005 Paris, France","4.5","1435"
"55 avenue Ledru Rollin, 75012 Paris, France","4","216"
"37 rue Montmartre, 75002 Paris, France","3","43"
"26 avenue des Champs Elysees, 75008 Paris, France","3","43"
"23 boulevard de la Tour Maubourg, 75007 Paris, France","4","119"
"4 rue la Fayette, 75009 Paris, France","4","302"
"25 rue Oscar Roty, 75015 Paris, France","4.5","401"
"4 rue de l Arcade | Madeleine, 75008 Paris, France","4","316"
"30 rue de la Folie Mericourt, 75011 Paris, France","4","243"
"9 rue Gerando, 75009 Paris, France","4","206"
"25 Place des Vosges, 75003 Paris, France","4","718"
"28 rue Surcouf, 75007 Paris, France","4","112"
"28 rue Duret, 75116 Paris, France","4.5","709"
"39 rue de Richelieu | 1er Arr, 75001 Paris, France","4","128"
"139 boulevard de Grenelle, 75015 Paris, France","3.5","152"
"34 Place Saint Ferdinand, 75017 Paris, France","3.5","198"
"4 avenue Carnot, 75017 Paris, France","4","559"
"71 Rue de Lyon, 75012 Paris, France","3","27"
"53 boulevard de Grenelle, 75015 Paris, France","4","640"
"18 rue Lacharriere | Close to the L’Atelier Des Lumières, 75011 Paris, France","4.5","220"
"110 boulevard de Clichy, 75018 Paris, France","3.5","233"
"4 rue Viala, 75015 Paris, France","4.5","338"
"24 rue Saint Ambroise, 75011 Paris, France","3.5","342"
"26 rue du Bouloi, 75001 Paris, France","4.5","123"
"206 boulevard Raspail, 75014 Paris, France","4","364"
"54 rue Mouffetard, 75005 Paris, France","4.5","706"
"19 boulevard Saint Michel, 75005 Paris, France","3.5","251"
"42 rue Broca, 75005 Paris, France","4.5","321"
"8 rue du Cherche Midi, 75006 Paris, France","4","151"
"36 avenue George V, 75008 Paris, France","4","69"
"12 boulevard Vincent Auriol, 75013 Paris, France","3.5","43"
"8 rue du Chateau Landon, 75010 Paris, France","4.5","255"
"98 rue Lepic, 75018 Paris, France","4.5","1049"
"9 Place de la Republique, 75003 Paris, France","3","382"
"90 Boulevard Saint Germain, 75005 Paris, France","4","1189"
"8 boulevard Saint Michel, 75006 Paris, France","3.5","411"
"23 rue Rambuteau, 75004 Paris, France","3.5","279"
"38 rue du Mont Thabor, 75001 Paris, France","4.5","227"
"55 rue du Faubourg Poissonniere, 75009 Paris, France","4","1388"
"8 rue Pavee, 75004 Paris, France","4","325"
"5 rue Gregoire de Tours, 75006 Paris, France","4","334"
"126 rue du Faubourg Saint Antoine, 75012 Paris, France","4","373"
"3 Place du General Koenig | 34 Eme Étage, 75017 Paris, France","3.5","142"
"52 rue Saint Dominique, 75007 Paris, France","3","28"
"26 rue Montorgueil, 75001 Paris, France","4","496"
"62 rue de la Verrerie, 75004 Paris, France","4","280"
"21 boulevard Garibaldi, 75015 Paris, France","3.5","62"
"47 rue du Faubourg Montmartre, 75009 Paris, France","4.5","303"
"4 avenue de Villiers, 75017 Paris, France","3","363"
"88 rue du Rocher, 75008 Paris, France","4.5","278"
"278 avenue Daumesnil, 75012 Paris, France","4.5","167"
"23 avenue de la Bourdonnais, 75007 Paris, France","3.5","614"
"10 rue de la chaussee D Antin | 75009, 75009 Paris, France","3.5","142"
"4 rue Arsene Houssaye, 75008 Paris, France","3.5","74"
"10 rue de la Tremoille, 75008 Paris, France","2.5","497"
"64 rue Sainte Anne, 75002 Paris, France","4.5","339"
"2 rue Saint Philippe du Roule, 75008 Paris, France","3.5","94"
"107 avenue Parmentier, 75011 Paris, France","4","513"
"6 avenue Rapp, 75007 Paris, France","3.5","326"
"103 rue de Charonne | Métro Charonne, 75011 Paris, France","4.5","191"
"51 rue de la Harpe, 75005 Paris, France","4","320"
"122 rue Nollet, 75017 Paris, France","4.5","190"
"25 rue Boissy D Anglas, 75008 Paris, France","4","387"
"227 boulevard Saint Germain, 75007 Paris, France","3.5","395"
"9 rue d Argenteuil, 75001 Paris, France","4.5","809"
"56 Passage des Panoramas, 75002 Paris, France","4","441"
"85 rue de Rivoli, 75001 Paris, France","4","468"
"88 rue Lepic | 75018, 75018 Paris, France","4","176"
"48 rue de Verneuil, 75007 Paris, France","4.5","768"
"22 rue des Capucines | 75002, 75002 Paris, France","2","97"
"42 rue Taitbout, 75009 Paris, France","4.5","179"
"54 rue de Seine, 75006 Paris, France","4","1205"
"44 rue de Rivoli | 75004, 75004 Paris, France","4","246"
"31 rue des Petits Champs, 75001 Paris, France","4","595"
"1 rue du Sabot, 75006 Paris, France","3","24"
"56 rue des Abbesses, 75018 Paris, France","3.5","360"
"18 rue Saint Lazare, 75009 Paris, France","4.5","135"
"60 Bd Saint-Germain, 75005 Paris, France","2.5","332"
"25 rue la Bruyere, 75009 Paris, France","4.5","698"
"49 rue Vaneau, 75007 Paris, France","4.5","149"
"6 rue Lamarck, 75018 Paris, France","4.5","629"
"14 rue des Capucines, 75002 Paris, France","4","263"
"4 Place de la Republique, 75011 Paris, France","3.5","465"
"34 rue Yves Toudic, 75010 Paris, France","4.5","920"
"30 Passage Jouffroy, 75009 Paris, France","4.5","527"
"36 rue Saint Andre des Arts, 75006 Paris, France","3","154"
"71 boulevard Saint Michel, 75005 Paris, France","4","103"
"48 rue du Temple, 75004 Paris, France","4","276"
"19 avenue Mac Mahon | m Charles de Gaulle / Etoile, 75017 Paris, France","4","162"
"18 Avenue du President Kennedy, 75016 Paris, France","4","229"
"64 boulevard Haussmann, 75009 Paris, France","4","488"
"2 rue Dante, 75005 Paris, France","3.5","237"
"1 Cour des Petites Ecuries, 75010 Paris, France","4","328"
"9 rue Boissy D Anglas, 75008 Paris, France","4","449"
"85 B rue de Charenton, 75012 Paris, France (Formerly Boulangerie Jacques Bazin)","4.5","62"
"3 rue Saint Benoit, 75006 Paris, France","4.5","369"
"93 rue des Martyrs, 75018 Paris, France","4","126"
"22 avenue Raymond Poincare, 75116 Paris, France","4","481"
"13 rue Dauphine, 75006 Paris, France","4","582"
"66 rue Raymond Losserand, 75014 Paris, France","4","714"
"6 rue de Lancry, 75010 Paris, France","4.5","910"
"21 avenue de la Bourdonnais, 75007 Paris, France","3.5","672"
"5 rue Villedo, 75001 Paris, France","4","137"
"195 rue du Faubourg Saint Honore, 75008 Paris, France","4.5","1100"
"18 avenue Bosquet | Angle Avenue Bosquet et Rue Saint-Dominique, 75007 Paris, France","4","688"
"6 rue de Jarente, 75004 Paris, France","4.5","618"
"19 rue de Dunkerque, 75010 Paris, France","3.5","497"
"108 rue Falguiere, 75015 Paris, France","4.5","76"
"19 rue Duphot, 75001 Paris, France","3.5","96"
"Rue Tholoze | Montmatre, Paris, France","4","76"
"29 boulevard Poissonniere, 75002 Paris, France","2","326"
"3 rue Gregoire de Tours, 75006 Paris, France","3.5","200"
"49 avenue du Maine | 75014, 75014 Paris, France","4","815"
"55 rue Oberkampf, 75011 Paris, France","4.5","1309"
"26 avenue de Friedland | 75008, 75008 Paris, France","4","69"
"25 rue Servandoni | Metro St Sulpice, 75006 Paris, France","4.5","1343"
"28 rue Augereau, 75007 Paris, France","4.5","365"
"53 rue de Richelieu, 75001 Paris, France","4.5","88"
"88 rue de Clichy | Place de Clichy, 75009 Paris, France","3.5","356"
"62 boulevard de Grenelle, 75015 Paris, France","3.5","405"
"129 avenue du General Leclerc, 75014 Paris, France","3","326"
"10, avenue d'Lena | Shangri-La Hotel, Lobby Level, 75116 Paris, France","4.5","84"
"1 Place de la Bourse, 75002 Paris, France","4","342"
"3 rue Corbineau, 75012 Paris, France","4","495"
"67 rue du Cherche Midi, 75006 Paris, France","3.5","76"
"33 rue Notre Dame de Lorette, 75009 Paris, France","3.5","427"
"47 rue de Richelieu, 75001 Paris, France","4.5","30"
"36 boulevard de la Tour Maubourg, 75007 Paris, France","3.5","513"
"58 rue Jean Jacques Rousseau, 75001 Paris, France","3.5","478"
"50 rue Lauriston, 75116 Paris, France","4.5","221"
